0,Good course. Learned a lot from it. Thanks 
1,This course was great With good code examples and algorithm applications and also intuition It's a shame that we couldn't finish planned courses due to busy schedules of instructors as I was really looking forward to the capstone project 
2,Nice course with all the practical stuffs and nice analysis about each topic but practical part of LDA was restricted for GraphLab users only which is a weak fallback and rest everything is fine. 
3,Clustering &amp; Retrieval was a lot tougher compared to courses on regression &amp; classification because the match concepts behind this course were too complex. Nevertheless Emily tried to make this course as intuitive as possible
4,I'm a grad student and I can notice the instructor makes a difference in this course. I fully recommend it. 
5,awesome course 
6,"sometimes difficult,but import so many useful knowledge"
7,very good strongly recommend to people who want to start a career on data science or are interested in it
8,The teachers are really amazing. They do not just explain it as if they read a book. They explain the concepts very well
9,Overall is great. The LDA and Dendrograms lack quality or specificity and depth of the previous topics. So sad the Specialization collapsed at 4 courses instead of 6. 
10,This course was my first encounter with Machine Learning The course gave me a good understanding of the different ML algorithms used in clustering and retrieval of data 
11,Very nice course. Concepts are covered very clearly. 
13," Really a good course, succinct and concise. "
14,slightly repetitive of classification course with no real use-case value except lots of math. 
15,"Great course on machine learning, however, left us in middle of learning, Recommender System + Deep Learning Capstone is missing"
16,Some themes are shown very superficially it would be great to go deeper. Despite of this the course is great Thanks. 
17,The course was very engaging and mathematically intensive. It provides background for all the necessary tools one must know to start clustering. Great Course. Will miss this course format as 5 and 6 are cancelled 
18,Should use pandas instead of Graph Lab Create
19,Good and deep dive into ML Absolutely disappointed that the course was delayed and the promise to take it through Course 5 and Capstone Project didn't come through. Not at all happy with that 
20,"super one, "
21, Best Course on ML yet on the Web 
22,"A great course as the other 3 courses in the specialization. This course introduces and make us implement Knn,Kd trees,Gaussian Mixture model and LDA model for clustering and retrieval. The data set is the peoples wiki from the Foundations course and theres a assignment on clustering images too. If you have taken the other 3 an do this with ease and if you haven't taken those i think it will be better to take this course after the other 3. "
23,Excellent course Thanks a lot for the effort in compiling this course. I really enjoyed it 
24,"Dependence on GraphLab technology is a big minus. The lectures are poorly balanced in terms of difficulty. Apart from that - interesting course, I'm glad I took it. "
25,"If you are considering this specialization I would recommend the Andrew Ng course instead and the main reason is that it isn't depend on proprietary ML framework. Despite the good lectures, the assignments don't help you develop the knowledge required for ML developer role. Taking in consideration the permanent postponing the courses delivery, from summer 2016 to summer 2017, finally the most interesting part of the specialization was cancelled. I'm completely disappointed with the specialization learning expirience. "
26,No good without the missing course and capstone projects
27,"The material is complex and challenging, but the teaching procedure is carefully thought out in a way that you quickly get it, giving you a great sense of accomplishment. "
28, Excellent Course 
29,"Very sophisticated, friendly and practical instructions"
30,Enjoyed the course and learned a lot. Amazing 
31,awesome clustering course
32, This specialization is delayed for months now - very annoying Don't give them money 
33,very helpful
34,Great course but hard going at times for those of us without a strong maths background. The assignments took me a long time to complete and I think I'll have to revisit some areas as I become more familiar with them to really get the full benefit. 
35,"I am taking all courses in the specialization, and this is my fourth. I have been having a great time with materials by both instructors so far, until I came to week 5 of this course. Despite repeated viewing, my understanding of LDA is non-existent. The first section is fine, but starting from Bayesian inference via Gibbs sampling, for me at least, the method of instruction has gone off a cliff. I strongly suggest soliciting feedback from learners that narrowly targets the material of this week 5 to determine if it's just me or if this is a wider problem. If it is the latter, perhaps it is time to redesign the lessons of this week. "
36,great. 
37,VERY IMPRESSIVE COURSE
38,This course contain many advance topic which was covered in fast pace by the professor special end lectures. This course contain very important topics of Machine learning could have given more time in explaining things. Thanks professor 
39,Excellent course 
40,It is explained in simple and lucid language by expert Emily and codes illustrated by Carlos. Go for it. 
41,Very Insightful. Great Instructors. Awesome Forum and intelligible peers. 
42,It's an amazing Course. 
43,So Much Concepts to learn and totally worth it 
44,"This was probably the most challenging course of them all, I thoroughly enjoyed it Looking forward to dimensionality reduction and the capstone. "
45,"Thank you, it was a good one"
46,Great course Very simple and practical. 
47,"The course dived into basic and advanced concepts of unsupervised learning. As before, Prof Fox did a great job at explaining things. "
48,this is not a an easy course but certainly an awesome one 
49,Excellent Very good material and lectures and hands on. Really enriching. 
50,"Very good, not only learn many good ML concepts, but also polish my python programming skill a lot. Thank you, Emily and Carlos. "
51,"Great course, very hands-on, very practical knowledge. "
52,Best course available till date as MooC
53,This was another great course. I hope that the instructors indulge in a little bit more theory. Anyway it was a magnificent course. Hope the coming courses are as good as this one. 
54,Deep insight into most useful techniques of machine learning. 
55,This specific course traded off depth and detail for breadth of topics. Too many ideas were quickly described and not really built up to my liking. 
