,course_id,comment,parsed_sent
5702,DzdXURoCEeWg_RJGAuFGjw,That was a great experience ,"[[((u'experience', u'NN'), u'nsubj', (u'That', u'DT')), ((u'experience', u'NN'), u'cop', (u'was', u'VBD')), ((u'experience', u'NN'), u'det', (u'a', u'DT')), ((u'experience', u'NN'), u'amod', (u'great', u'JJ'))]]"
5703,DzdXURoCEeWg_RJGAuFGjw,"The course is well structured and Prof Muppala presents it in an interesting way. The range of technology covered was good and would be useful. The CapStone Project timelines are not realistic at all - one has to start implementing almost from the word go, the artificial interim reports are distracting if one does not realize that and I think many students are forced to a second session to complete the course. ","[[((u'structured', u'JJ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'The', u'DT')), ((u'structured', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'structured', u'JJ'), u'advmod', (u'well', u'RB')), ((u'structured', u'JJ'), u'cc', (u'and', u'CC')), ((u'structured', u'JJ'), u'conj', (u'presents', u'VBZ')), ((u'presents', u'VBZ'), u'nsubj', (u'Muppala', u'NNP')), ((u'Muppala', u'NNP'), u'compound', (u'Prof', u'NNP')), ((u'presents', u'VBZ'), u'dobj', (u'it', u'PRP')), ((u'presents', u'VBZ'), u'nmod', (u'way', u'NN')), ((u'way', u'NN'), u'case', (u'in', u'IN')), ((u'way', u'NN'), u'det', (u'an', u'DT')), ((u'way', u'NN'), u'amod', (u'interesting', u'JJ'))], [((u'good', u'JJ'), u'nsubj', (u'range', u'NN')), ((u'range', u'NN'), u'det', (u'The', u'DT')), ((u'range', u'NN'), u'nmod', (u'technology', u'NN')), ((u'technology', u'NN'), u'case', (u'of', u'IN')), ((u'technology', u'NN'), u'acl', (u'covered', u'VBN')), ((u'good', u'JJ'), u'cop', (u'was', u'VBD')), ((u'good', u'JJ'), u'cc', (u'and', u'CC')), ((u'good', u'JJ'), u'conj', (u'useful', u'JJ')), ((u'useful', u'JJ'), u'aux', (u'would', u'MD')), ((u'useful', u'JJ'), u'cop', (u'be', u'VB'))], [((u'realistic', u'JJ'), u'nsubj', (u'timelines', u'NNS')), ((u'timelines', u'NNS'), u'det', (u'The', u'DT')), ((u'timelines', u'NNS'), u'compound', (u'CapStone', u'NNP')), ((u'timelines', u'NNS'), u'compound', (u'Project', u'NNP')), ((u'realistic', u'JJ'), u'cop', (u'are', u'VBP')), ((u'realistic', u'JJ'), u'neg', (u'not', u'RB')), ((u'realistic', u'JJ'), u'nmod', (u'all', u'DT')), ((u'all', u'DT'), u'case', (u'at', u'IN')), ((u'realistic', u'JJ'), u'conj', (u'has', u'VBZ')), ((u'has', u'VBZ'), u'nsubj', (u'one', u'PRP')), ((u'has', u'VBZ'), u'xcomp', (u'start', u'VB')), ((u'start', u'VB'), u'mark', (u'to', u'TO')), ((u'start', u'VB'), u'xcomp', (u'implementing', u'VBG')), ((u'implementing', u'VBG'), u'advmod', (u'almost', u'RB')), ((u'implementing', u'VBG'), u'nmod', (u'go', u'NN')), ((u'go', u'NN'), u'case', (u'from', u'IN')), ((u'go', u'NN'), u'det', (u'the', u'DT')), ((u'go', u'NN'), u'compound', (u'word', u'NN')), ((u'realistic', u'JJ'), u'conj', (u'distracting', u'VBG')), ((u'distracting', u'VBG'), u'nsubj', (u'reports', u'NNS')), ((u'reports', u'NNS'), u'det', (u'the', u'DT')), ((u'reports', u'NNS'), u'amod', (u'artificial', u'JJ')), ((u'reports', u'NNS'), u'amod', (u'interim', u'JJ')), ((u'distracting', u'VBG'), u'aux', (u'are', u'VBP')), ((u'distracting', u'VBG'), u'advcl', (u'realize', u'VB')), ((u'realize', u'VB'), u'mark', (u'if', u'IN')), ((u'realize', u'VB'), u'nsubj', (u'one', u'PRP')), ((u'realize', u'VB'), u'aux', (u'does', u'VBZ')), ((u'realize', u'VB'), u'neg', (u'not', u'RB')), ((u'realize', u'VB'), u'dobj', (u'that', u'DT')), ((u'realistic', u'JJ'), u'cc', (u'and', u'CC')), ((u'realistic', u'JJ'), u'conj', (u'think', u'VBP')), ((u'think', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'think', u'VBP'), u'ccomp', (u'forced', u'VBN')), ((u'forced', u'VBN'), u'nsubjpass', (u'students', u'NNS')), ((u'students', u'NNS'), u'amod', (u'many', u'JJ')), ((u'forced', u'VBN'), u'auxpass', (u'are', u'VBP')), ((u'forced', u'VBN'), u'nmod', (u'session', u'NN')), ((u'session', u'NN'), u'case', (u'to', u'TO')), ((u'session', u'NN'), u'det', (u'a', u'DT')), ((u'session', u'NN'), u'amod', (u'second', u'JJ')), ((u'forced', u'VBN'), u'xcomp', (u'complete', u'VB')), ((u'complete', u'VB'), u'mark', (u'to', u'TO')), ((u'complete', u'VB'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'the', u'DT'))]]"
5704,DzdXURoCEeWg_RJGAuFGjw,Very useful to learn the mean stack techniques. ,"[[((u'useful', u'JJ'), u'advmod', (u'Very', u'RB')), ((u'useful', u'JJ'), u'dep', (u'learn', u'VB')), ((u'learn', u'VB'), u'mark', (u'to', u'TO')), ((u'learn', u'VB'), u'dobj', (u'techniques', u'NNS')), ((u'techniques', u'NNS'), u'det', (u'the', u'DT')), ((u'techniques', u'NNS'), u'amod', (u'mean', u'JJ')), ((u'techniques', u'NNS'), u'nummod', (u'stack', u'CD'))]]"
5705,DzdXURoCEeWg_RJGAuFGjw,wonderful experience ,"[[((u'experience', u'NN'), u'amod', (u'wonderful', u'JJ'))]]"
5706,DzdXURoCEeWg_RJGAuFGjw,"valuable project, help you to put all the concepts together in a complete finished project. ","[[((u'help', u'VB'), u'nsubj', (u'project', u'NN')), ((u'project', u'NN'), u'amod', (u'valuable', u'JJ')), ((u'help', u'VB'), u'dobj', (u'you', u'PRP')), ((u'help', u'VB'), u'xcomp', (u'put', u'VB')), ((u'put', u'VB'), u'mark', (u'to', u'TO')), ((u'put', u'VB'), u'dobj', (u'concepts', u'NNS')), ((u'concepts', u'NNS'), u'det:predet', (u'all', u'PDT')), ((u'concepts', u'NNS'), u'det', (u'the', u'DT')), ((u'put', u'VB'), u'advmod', (u'together', u'RB')), ((u'put', u'VB'), u'nmod', (u'project', u'NN')), ((u'project', u'NN'), u'case', (u'in', u'IN')), ((u'project', u'NN'), u'det', (u'a', u'DT')), ((u'project', u'NN'), u'amod', (u'complete', u'JJ')), ((u'project', u'NN'), u'amod', (u'finished', u'JJ'))]]"
5707,DzdXURoCEeWg_RJGAuFGjw,"It is really hard to make all the stuff required to complete in time, but it absolutely worth every minute spent. ","[[((u'hard', u'JJ'), u'nsubj', (u'It', u'PRP')), ((u'hard', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'hard', u'JJ'), u'advmod', (u'really', u'RB')), ((u'hard', u'JJ'), u'xcomp', (u'make', u'VB')), ((u'make', u'VB'), u'mark', (u'to', u'TO')), ((u'make', u'VB'), u'dobj', (u'stuff', u'NN')), ((u'stuff', u'NN'), u'det:predet', (u'all', u'PDT')), ((u'stuff', u'NN'), u'det', (u'the', u'DT')), ((u'stuff', u'NN'), u'acl', (u'required', u'VBN')), ((u'required', u'VBN'), u'xcomp', (u'complete', u'VB')), ((u'complete', u'VB'), u'mark', (u'to', u'TO')), ((u'complete', u'VB'), u'nmod', (u'time', u'NN')), ((u'time', u'NN'), u'case', (u'in', u'IN')), ((u'hard', u'JJ'), u'cc', (u'but', u'CC')), ((u'hard', u'JJ'), u'conj', (u'worth', u'JJ')), ((u'worth', u'JJ'), u'dep', (u'it', u'PRP')), ((u'worth', u'JJ'), u'advmod', (u'absolutely', u'RB')), ((u'worth', u'JJ'), u'ccomp', (u'spent', u'VBD')), ((u'spent', u'VBD'), u'nsubj', (u'minute', u'NN')), ((u'minute', u'NN'), u'det', (u'every', u'DT'))]]"
5708,DzdXURoCEeWg_RJGAuFGjw,Like the other courses of the specialization the capstone project has a very low quality. ,"[[((u'has', u'VBZ'), u'nmod', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'case', (u'Like', u'IN')), ((u'courses', u'NNS'), u'det', (u'the', u'DT')), ((u'courses', u'NNS'), u'amod', (u'other', u'JJ')), ((u'courses', u'NNS'), u'nmod', (u'specialization', u'NN')), ((u'specialization', u'NN'), u'case', (u'of', u'IN')), ((u'specialization', u'NN'), u'det', (u'the', u'DT')), ((u'has', u'VBZ'), u'nsubj', (u'project', u'NN')), ((u'project', u'NN'), u'det', (u'the', u'DT')), ((u'project', u'NN'), u'amod', (u'capstone', u'JJ')), ((u'has', u'VBZ'), u'dobj', (u'quality', u'NN')), ((u'quality', u'NN'), u'det', (u'a', u'DT')), ((u'quality', u'NN'), u'amod', (u'low', u'JJ')), ((u'low', u'JJ'), u'advmod', (u'very', u'RB'))]]"
5709,DzdXURoCEeWg_RJGAuFGjw, Excelente ,[[]]
5710,DzdXURoCEeWg_RJGAuFGjw,Enjoyed this one. Always wanted over-engineer the project. So keep it simple if you want to succeed ,"[[((u'Enjoyed', u'VB'), u'dobj', (u'one', u'NN')), ((u'one', u'NN'), u'det', (u'this', u'DT'))], [((u'wanted', u'VBD'), u'nsubj', (u'Always', u'NNP')), ((u'wanted', u'VBD'), u'dobj', (u'project', u'NN')), ((u'project', u'NN'), u'amod', (u'over-engineer', u'JJ')), ((u'project', u'NN'), u'det', (u'the', u'DT'))], [((u'keep', u'VB'), u'advmod', (u'So', u'RB')), ((u'keep', u'VB'), u'xcomp', (u'want', u'VBP')), ((u'want', u'VBP'), u'nsubj', (u'it', u'PRP')), ((u'want', u'VBP'), u'dep', (u'simple', u'JJ')), ((u'want', u'VBP'), u'mark', (u'if', u'IN')), ((u'want', u'VBP'), u'nsubj', (u'you', u'PRP')), ((u'want', u'VBP'), u'xcomp', (u'succeed', u'VB')), ((u'succeed', u'VB'), u'mark', (u'to', u'TO'))]]"
5711,DzdXURoCEeWg_RJGAuFGjw,Very good course specialization. You can learn a lot if following closely. They gonna have to modify the course using Angular 2 in order to be relevant to the newest or modern framework. ,"[[((u'specialization', u'NN'), u'dep', (u'Very', u'RB')), ((u'specialization', u'NN'), u'amod', (u'good', u'JJ')), ((u'specialization', u'NN'), u'compound', (u'course', u'NN'))], [((u'learn', u'VB'), u'nsubj', (u'You', u'PRP')), ((u'learn', u'VB'), u'aux', (u'can', u'MD')), ((u'learn', u'VB'), u'dobj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det', (u'a', u'DT')), ((u'learn', u'VB'), u'advcl', (u'following', u'VBG')), ((u'following', u'VBG'), u'mark', (u'if', u'IN')), ((u'following', u'VBG'), u'advmod', (u'closely', u'RB'))], [((u'gon', u'VBZ'), u'nsubj', (u'They', u'PRP')), ((u'gon', u'VBZ'), u'xcomp', (u'have', u'VB')), ((u'have', u'VB'), u'mark', (u'na', u'TO')), ((u'have', u'VB'), u'xcomp', (u'modify', u'VB')), ((u'modify', u'VB'), u'mark', (u'to', u'TO')), ((u'modify', u'VB'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'course', u'NN'), u'acl', (u'using', u'VBG')), ((u'using', u'VBG'), u'dobj', (u'Angular', u'NNP')), ((u'Angular', u'NNP'), u'nummod', (u'2', u'CD')), ((u'Angular', u'NNP'), u'acl', (u'in', u'IN')), ((u'in', u'IN'), u'mwe', (u'order', u'NN')), ((u'have', u'VB'), u'xcomp', (u'relevant', u'JJ')), ((u'relevant', u'JJ'), u'mark', (u'to', u'TO')), ((u'relevant', u'JJ'), u'cop', (u'be', u'VB')), ((u'relevant', u'JJ'), u'nmod', (u'newest', u'JJS')), ((u'newest', u'JJS'), u'case', (u'to', u'TO')), ((u'newest', u'JJS'), u'det', (u'the', u'DT')), ((u'newest', u'JJS'), u'cc', (u'or', u'CC')), ((u'newest', u'JJS'), u'conj', (u'framework', u'NN')), ((u'framework', u'NN'), u'amod', (u'modern', u'JJ'))]]"
5712,DzdXURoCEeWg_RJGAuFGjw,"It's very time consuming, but it's worth it It's when you put all the concepts learned in the previous courses, and with this, the bugs also come altogether. A tip: Scale down your idea, because the time may not be enough ","[[((u'consuming', u'NN'), u'nsubj', (u'It', u'PRP')), ((u'consuming', u'NN'), u'cop', (u""'s"", u'VBZ')), ((u'consuming', u'NN'), u'amod', (u'very', u'JJ')), ((u'consuming', u'NN'), u'compound', (u'time', u'NN')), ((u'consuming', u'NN'), u'cc', (u'but', u'CC')), ((u'consuming', u'NN'), u'conj', (u'worth', u'JJ')), ((u'worth', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'worth', u'JJ'), u'cop', (u""'s"", u'VBZ')), ((u'worth', u'JJ'), u'dep', (u'it', u'PRP')), ((u'worth', u'JJ'), u'ccomp', (u""'s"", u'VBZ')), ((u""'s"", u'VBZ'), u'nsubj', (u'It', u'PRP')), ((u""'s"", u'VBZ'), u'advcl', (u'put', u'VBD')), ((u'put', u'VBD'), u'advmod', (u'when', u'WRB')), ((u'put', u'VBD'), u'nsubj', (u'you', u'PRP')), ((u'put', u'VBD'), u'ccomp', (u'learned', u'VBD')), ((u'learned', u'VBD'), u'nsubj', (u'concepts', u'NNS')), ((u'concepts', u'NNS'), u'det:predet', (u'all', u'PDT')), ((u'concepts', u'NNS'), u'det', (u'the', u'DT')), ((u'learned', u'VBD'), u'nmod', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'case', (u'in', u'IN')), ((u'courses', u'NNS'), u'det', (u'the', u'DT')), ((u'courses', u'NNS'), u'amod', (u'previous', u'JJ')), ((u'worth', u'JJ'), u'cc', (u'and', u'CC')), ((u'worth', u'JJ'), u'conj', (u'come', u'VBP')), ((u'come', u'VBP'), u'nmod', (u'this', u'DT')), ((u'this', u'DT'), u'case', (u'with', u'IN')), ((u'come', u'VBP'), u'nsubj', (u'bugs', u'NNS')), ((u'bugs', u'NNS'), u'det', (u'the', u'DT')), ((u'come', u'VBP'), u'advmod', (u'also', u'RB')), ((u'come', u'VBP'), u'advmod', (u'altogether', u'RB'))], [((u'tip', u'NN'), u'det', (u'A', u'DT')), ((u'tip', u'NN'), u'dep', (u'Scale', u'VBG')), ((u'Scale', u'VBG'), u'compound:prt', (u'down', u'RP')), ((u'Scale', u'VBG'), u'dobj', (u'idea', u'NN')), ((u'idea', u'NN'), u'nmod:poss', (u'your', u'PRP$')), ((u'Scale', u'VBG'), u'advcl', (u'enough', u'JJ')), ((u'enough', u'JJ'), u'mark', (u'because', u'IN')), ((u'enough', u'JJ'), u'nsubj', (u'time', u'NN')), ((u'time', u'NN'), u'det', (u'the', u'DT')), ((u'enough', u'JJ'), u'aux', (u'may', u'MD')), ((u'enough', u'JJ'), u'neg', (u'not', u'RB')), ((u'enough', u'JJ'), u'cop', (u'be', u'VB'))]]"
5713,DzdXURoCEeWg_RJGAuFGjw,"Dear Instructors;Thank you for the excellent course and the great sessions you provided. Keeping a combination of technology, professionalism and humor in your sessions was always a great experience and brought smile to my face when following your instructions. I believe keeping this spirit in your courses will be of great help and fun for all students. Wish you well in your future teachings and online courses and hope to follow more of them in the future. Kind regards;M. Karami","[[((u'Instructors', u'VBZ'), u'nsubj', (u'Dear', u'NNP')), ((u'Instructors', u'VBZ'), u'parataxis', (u'provided', u'VBD')), ((u'provided', u'VBD'), u'dep', (u'Thank', u'VB')), ((u'Thank', u'VB'), u'dobj', (u'you', u'PRP')), ((u'Thank', u'VB'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'for', u'IN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'course', u'NN'), u'amod', (u'excellent', u'JJ')), ((u'course', u'NN'), u'cc', (u'and', u'CC')), ((u'course', u'NN'), u'conj', (u'sessions', u'NNS')), ((u'sessions', u'NNS'), u'det', (u'the', u'DT')), ((u'sessions', u'NNS'), u'amod', (u'great', u'JJ')), ((u'provided', u'VBD'), u'nsubj', (u'you', u'PRP'))], [((u'experience', u'NN'), u'csubj', (u'Keeping', u'VBG')), ((u'Keeping', u'VBG'), u'dobj', (u'combination', u'NN')), ((u'combination', u'NN'), u'det', (u'a', u'DT')), ((u'combination', u'NN'), u'nmod', (u'technology', u'NN')), ((u'technology', u'NN'), u'case', (u'of', u'IN')), ((u'technology', u'NN'), u'conj', (u'professionalism', u'NN')), ((u'technology', u'NN'), u'cc', (u'and', u'CC')), ((u'technology', u'NN'), u'conj', (u'humor', u'NN')), ((u'Keeping', u'VBG'), u'nmod', (u'sessions', u'NNS')), ((u'sessions', u'NNS'), u'case', (u'in', u'IN')), ((u'sessions', u'NNS'), u'nmod:poss', (u'your', u'PRP$')), ((u'experience', u'NN'), u'cop', (u'was', u'VBD')), ((u'experience', u'NN'), u'advmod', (u'always', u'RB')), ((u'experience', u'NN'), u'det', (u'a', u'DT')), ((u'experience', u'NN'), u'amod', (u'great', u'JJ')), ((u'experience', u'NN'), u'cc', (u'and', u'CC')), ((u'experience', u'NN'), u'conj', (u'smile', u'NN')), ((u'smile', u'NN'), u'compound', (u'brought', u'NN')), ((u'experience', u'NN'), u'nmod', (u'face', u'NN')), ((u'face', u'NN'), u'case', (u'to', u'TO')), ((u'face', u'NN'), u'nmod:poss', (u'my', u'PRP$')), ((u'experience', u'NN'), u'advcl', (u'following', u'VBG')), ((u'following', u'VBG'), u'advmod', (u'when', u'WRB')), ((u'following', u'VBG'), u'dobj', (u'instructions', u'NNS')), ((u'instructions', u'NNS'), u'nmod:poss', (u'your', u'PRP$'))], [((u'believe', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'believe', u'VBP'), u'xcomp', (u'keeping', u'VBG')), ((u'keeping', u'VBG'), u'ccomp', (u'help', u'NN')), ((u'help', u'NN'), u'nsubj', (u'spirit', u'NN')), ((u'spirit', u'NN'), u'det', (u'this', u'DT')), ((u'spirit', u'NN'), u'nmod', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'case', (u'in', u'IN')), ((u'courses', u'NNS'), u'nmod:poss', (u'your', u'PRP$')), ((u'help', u'NN'), u'aux', (u'will', u'MD')), ((u'help', u'NN'), u'cop', (u'be', u'VB')), ((u'help', u'NN'), u'case', (u'of', u'IN')), ((u'help', u'NN'), u'amod', (u'great', u'JJ')), ((u'help', u'NN'), u'cc', (u'and', u'CC')), ((u'help', u'NN'), u'conj', (u'fun', u'NN')), ((u'help', u'NN'), u'nmod', (u'students', u'NNS')), ((u'students', u'NNS'), u'case', (u'for', u'IN')), ((u'students', u'NNS'), u'det', (u'all', u'DT'))], [((u'you', u'PRP'), u'nsubj', (u'Wish', u'NNP')), ((u'you', u'PRP'), u'nmod', (u'teachings', u'NNS')), ((u'teachings', u'NNS'), u'advmod', (u'well', u'RB')), ((u'teachings', u'NNS'), u'case', (u'in', u'IN')), ((u'teachings', u'NNS'), u'nmod:poss', (u'your', u'PRP$')), ((u'teachings', u'NNS'), u'amod', (u'future', u'JJ')), ((u'teachings', u'NNS'), u'cc', (u'and', u'CC')), ((u'teachings', u'NNS'), u'conj', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'amod', (u'online', u'JJ')), ((u'you', u'PRP'), u'cc', (u'and', u'CC')), ((u'you', u'PRP'), u'conj', (u'hope', u'VBP')), ((u'hope', u'VBP'), u'xcomp', (u'follow', u'VB')), ((u'follow', u'VB'), u'mark', (u'to', u'TO')), ((u'follow', u'VB'), u'dobj', (u'more', u'JJR')), ((u'more', u'JJR'), u'nmod', (u'them', u'PRP')), ((u'them', u'PRP'), u'case', (u'of', u'IN')), ((u'follow', u'VB'), u'nmod', (u'future', u'NN')), ((u'future', u'NN'), u'case', (u'in', u'IN')), ((u'future', u'NN'), u'det', (u'the', u'DT'))], [((u'regards', u'NNP'), u'compound', (u'Kind', u'NNP')), ((u'regards', u'NNP'), u'dep', (u'Karami', u'NNP')), ((u'Karami', u'NNP'), u'compound', (u'M.', u'NNP'))]]"
5714,DzdXURoCEeWg_RJGAuFGjw,Great overall experience. I found it quite flattering that someone who's final submission I had to grade sent in the exact same paper I sent in and provided the same links I provided to an API on areascore. ca (which is a domain I own) as well as links to repositories in my bitbucket account (which I now have made private). The only thing that would upset me is this person getting a better grade than I did. ,"[[((u'experience', u'VBP'), u'nsubj', (u'Great', u'NNP')), ((u'experience', u'VBP'), u'advmod', (u'overall', u'RB'))], [((u'found', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'found', u'VBD'), u'xcomp', (u'flattering', u'JJ')), ((u'flattering', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'flattering', u'JJ'), u'advmod', (u'quite', u'RB')), ((u'flattering', u'JJ'), u'ccomp', (u'provided', u'VBD')), ((u'provided', u'VBD'), u'mark', (u'that', u'IN')), ((u'provided', u'VBD'), u'nsubj', (u'someone', u'NN')), ((u'someone', u'NN'), u'acl:relcl', (u'submission', u'NN')), ((u'submission', u'NN'), u'nsubj', (u'who', u'WP')), ((u'submission', u'NN'), u'cop', (u""'s"", u'VBZ')), ((u'submission', u'NN'), u'amod', (u'final', u'JJ')), ((u'submission', u'NN'), u'acl:relcl', (u'sent', u'VBN')), ((u'sent', u'VBN'), u'nsubj', (u'I', u'PRP')), ((u'sent', u'VBN'), u'aux', (u'had', u'VBD')), ((u'sent', u'VBN'), u'nmod', (u'grade', u'NN')), ((u'grade', u'NN'), u'case', (u'to', u'TO')), ((u'sent', u'VBN'), u'nmod', (u'paper', u'NN')), ((u'paper', u'NN'), u'case', (u'in', u'IN')), ((u'paper', u'NN'), u'det', (u'the', u'DT')), ((u'paper', u'NN'), u'amod', (u'exact', u'JJ')), ((u'paper', u'NN'), u'amod', (u'same', u'JJ')), ((u'paper', u'NN'), u'acl:relcl', (u'sent', u'VBD')), ((u'sent', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'sent', u'VBD'), u'compound:prt', (u'in', u'RP')), ((u'sent', u'VBD'), u'cc', (u'and', u'CC')), ((u'sent', u'VBD'), u'conj', (u'provided', u'VBD')), ((u'provided', u'VBD'), u'iobj', (u'links', u'NNS')), ((u'links', u'NNS'), u'det', (u'the', u'DT')), ((u'links', u'NNS'), u'amod', (u'same', u'JJ')), ((u'provided', u'VBD'), u'dobj', (u'I', u'PRP')), ((u'provided', u'VBD'), u'nmod', (u'API', u'NNP')), ((u'API', u'NNP'), u'case', (u'to', u'TO')), ((u'API', u'NNP'), u'det', (u'an', u'DT')), ((u'provided', u'VBD'), u'nmod', (u'areascore', u'NN')), ((u'areascore', u'NN'), u'case', (u'on', u'IN'))], [((u'links', u'VBZ'), u'csubj', (u'ca', u'MD')), ((u'links', u'VBZ'), u'parataxis', (u'domain', u'NN')), ((u'domain', u'NN'), u'nsubj', (u'which', u'WDT')), ((u'domain', u'NN'), u'cop', (u'is', u'VBZ')), ((u'domain', u'NN'), u'det', (u'a', u'DT')), ((u'domain', u'NN'), u'acl:relcl', (u'own', u'VBP')), ((u'own', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'links', u'VBZ'), u'advmod', (u'as', u'RB')), ((u'as', u'RB'), u'advmod', (u'as', u'RB')), ((u'as', u'RB'), u'advmod', (u'well', u'RB')), ((u'links', u'VBZ'), u'nmod', (u'repositories', u'NNS')), ((u'repositories', u'NNS'), u'case', (u'to', u'TO')), ((u'repositories', u'NNS'), u'nmod', (u'account', u'NN')), ((u'account', u'NN'), u'case', (u'in', u'IN')), ((u'account', u'NN'), u'nmod:poss', (u'my', u'PRP$')), ((u'account', u'NN'), u'amod', (u'bitbucket', u'JJ')), ((u'links', u'VBZ'), u'parataxis', (u'made', u'VBN')), ((u'made', u'VBN'), u'nsubj', (u'I', u'PRP')), ((u'made', u'VBN'), u'advmod', (u'now', u'RB')), ((u'made', u'VBN'), u'aux', (u'have', u'VBP')), ((u'made', u'VBN'), u'xcomp', (u'private', u'JJ')), ((u'private', u'JJ'), u'dobj', (u'which', u'WDT'))], [((u'person', u'NN'), u'nsubj', (u'thing', u'NN')), ((u'thing', u'NN'), u'det', (u'The', u'DT')), ((u'thing', u'NN'), u'amod', (u'only', u'JJ')), ((u'thing', u'NN'), u'acl:relcl', (u'upset', u'VB')), ((u'upset', u'VB'), u'nsubj', (u'that', u'WDT')), ((u'upset', u'VB'), u'aux', (u'would', u'MD')), ((u'upset', u'VB'), u'dobj', (u'me', u'PRP')), ((u'person', u'NN'), u'cop', (u'is', u'VBZ')), ((u'person', u'NN'), u'det', (u'this', u'DT')), ((u'person', u'NN'), u'acl', (u'getting', u'VBG')), ((u'getting', u'VBG'), u'dobj', (u'grade', u'NN')), ((u'grade', u'NN'), u'det', (u'a', u'DT')), ((u'grade', u'NN'), u'amod', (u'better', u'JJR')), ((u'getting', u'VBG'), u'advcl', (u'did', u'VBD')), ((u'did', u'VBD'), u'mark', (u'than', u'IN')), ((u'did', u'VBD'), u'nsubj', (u'I', u'PRP'))]]"
